Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
25.2,82.0,3.1,6.3,0.0,1.0
24.0,84.0,3.9,8.0,0.0,0.0
24.5,82.0,2.9,7.2,0.0,0.0
22.5,93.0,3.0,6.4,0.0,0.0
21.7,96.0,2.7,5.8,0.0,1.0
21.0,98.0,1.6,5.4,0.0,0.0
20.1,100.0,0.9,3.3,0.0,0.0
20.0,100.0,0.9,2.3,0.0,1.0
19.6,100.0,0.6,1.5,0.0,0.0
20.3,100.0,0.7,2.2,0.0,0.0
20.4,100.0,1.0,1.7,0.0,0.0
20.0,100.0,0.9,1.7,0.0,0.0
19.4,100.0,0.6,1.7,0.0,0.0
19.5,100.0,1.0,3.3,0.0,0.0
20.1,100.0,1.6,4.4,0.0,2.0
20.7,100.0,1.7,4.6,0.0,1.0
21.6,97.0,2.3,5.7,0.0,0.0
23.5,87.0,3.0,6.4,0.0,1.0
25.4,78.0,3.5,8.1,0.0,0.0
26.0,71.0,3.9,9.4,0.0,0.0
27.2,60.0,4.1,9.5,0.0,0.0
27.3,59.0,3.9,9.9,0.0,0.0
27.8,54.0,4.0,9.4,0.0,1.0
30.3,49.0,3.5,10.0,0.0,1.0
30.2,43.0,2.8,9.0,0.0,2.0
29.8,41.0,1.4,6.8,0.0,2.0
28.6,45.0,1.2,6.0,0.0,1.0
27.7,51.0,1.4,5.7,0.0,2.0
26.7,59.0,1.3,4.6,0.0,0.0
24.8,74.0,1.7,7.0,0.0,0.0
22.4,83.0,1.6,7.3,0.0,1.0
21.9,89.0,0.5,3.1,0.0,0.0
21.7,95.0,0.8,1.8,0.0,0.0
21.0,100.0,0.3,2.2,0.0,0.0
21.1,100.0,0.5,1.2,0.0,0.0
21.0,100.0,0.3,1.0,0.0,0.0
21.0,100.0,0.7,1.0,0.0,0.0
21.4,100.0,1.0,1.7,0.0,0.0
22.1,89.0,0.6,2.2,0.0,0.0
22.1,91.0,1.0,1.6,0.0,0.0
22.9,89.0,2.5,4.9,0.0,0.0
24.6,81.0,1.6,4.9,0.0,0.0
25.6,78.0,2.3,4.8,0.0,1.0
26.3,71.0,2.3,6.3,0.0,4.0
26.6,70.0,2.3,5.3,0.0,2.0
29.7,61.0,1.8,5.7,0.0,1.0
25.9,66.0,3.5,7.4,0.0,2.0
23.6,78.0,3.1,7.4,0.0,2.0
20.4,100.0,1.7,6.9,1.8,0.0
20.6,100.0,0.4,6.4,7.0,0.0
21.5,100.0,0.7,1.8,0.4,1.0
21.1,100.0,1.1,2.0,0.0,1.0
21.1,100.0,0.7,1.8,0.0,3.0
20.9,100.0,1.4,2.2,0.0,2.0
21.1,100.0,0.9,2.6,0.0,0.0
20.8,100.0,0.7,2.5,0.0,1.0
20.9,97.0,1.0,2.8,0.0,0.0
20.3,100.0,0.5,3.0,0.0,0.0
20.5,99.0,0.6,2.5,0.0,0.0
19.9,100.0,0.3,1.5,0.0,0.0
20.1,100.0,1.0,2.1,0.0,0.0
19.6,100.0,0.8,3.3,0.0,1.0
19.7,100.0,0.8,2.1,0.0,0.0
19.7,100.0,0.3,1.8,0.0,0.0
